Name,Age,Occupation,Height,Hometown,Ethnicity,Elimination Week,Season
Trista Rehn,30,Physical Therapist,5'3",Colo. Springs CO,Caucasian,2,1
Amanda Marsh,23,Public Relations,5'6",Tampa FL,Caucasian,0,1
Angela,26,Marketing,5'8",Houston TX,Caucasian,3,1
Barbara,25,Teacher,5'5",Dallas TX,Caucasian,4,1
Debra,28,Model,5'9",Miami FL,Caucasian,5,1
Emily,25,Student,5'4",Myrtle Beach SC,Caucasian,6,1
Gina,24,Sales,5'5",Los Angeles CA,Caucasian,7,1
Heather,27,Actress,5'6",Orlando FL,Caucasian,8,1
Jacqueline,24,Marketing,5'6",Pittsburgh PA,Caucasian,9,1
Jill,25,Interior Designer,5'7",Lake Bluff IL,Caucasian,10,1
Karen,24,Executive Assistant,5'5",New York NY,Caucasian,11,1
Lindsey,25,Teacher,5'4",Boston MA,Caucasian,12,1
Megan,26,Personal Assistant,5'6",Los Angeles CA,Caucasian,13,1
Monica,23,Student,5'8",Los Angeles CA,Caucasian,14,1
Rachelle,25,Marketing Manager,5'7",Tampa FL,Caucasian,15,1
Shannon,25,Teacher,5'5",Tucson AZ,Caucasian,16,1
Susan,25,Executive Recruiter,5'6",Nashville TN,Caucasian,17,1
Tara,23,Model,5'9",Dallas TX,Caucasian,18,1
Helene Eksterowicz,25,Public Relations,5'7",Cherry Hill NJ,Caucasian,10,2
Sarah Bicknell,26,Real Estate,5'5",Nashville TN,Caucasian,0,2
Angela,25,Marketing,5'8",Austin TX,Caucasian,8,2
Beverly,27,Event Planner,5'6",Chicago IL,Caucasian,6,2
Brooke,23,Interior Designer,5'9",San Francisco CA,Caucasian,7,2
Catherine,26,Waitress,5'6",Kennebunkport ME,Caucasian,5,2
Charlene,24,Model,5'8",Boston MA,Caucasian,4,2
Emily,22,Student,5'4",North Carolina,Caucasian,3,2
Gina,28,Accountant,5'5",St. Louis MO,Caucasian,2,2
Heather,25,Artist,5'5",Omaha NE,Caucasian,9,2
Jennifer,26,Marketing Manager,5'7",San Diego CA,Caucasian,1,2
Jenna,24,Actress,5'6",Los Angeles CA,Caucasian,11,2
Kathy,27,Account Manager,5'8",New York NY,Caucasian,12,2
Kristin,25,Journalist,5'9",Miami FL,Caucasian,13,2
Lindsay,26,Fashion Consultant,5'6",Chicago IL,Caucasian,14,2
Megan,24,Teacher,5'4",Ohio,Caucasian,15,2
Melanie,23,Graduate Student,5'6",Delaware,Caucasian,16,2
Shannon,25,Model,5'7",New Jersey,Caucasian,17,2
Amanda Marsh,23,Student,5'6",Los Angeles CA,Caucasian,2,3
Brandy,25,Teacher,5'7",San Diego CA,Caucasian,3,3
Christy,24,Marketing,5'8",New York NY,Caucasian,4,3
Corinne,23,Interior Designer,5'6",Miami FL,Caucasian,5,3
Katie,24,Sales,5'7",St. Louis MO,Caucasian,6,3
Lori,27,Marketing Executive,5'9",Philadelphia PA,Caucasian,7,3
Megan,26,Public Relations,5'6",Charleston SC,Caucasian,8,3
Renee,25,Teacher,5'5",Tucson AZ,Caucasian,9,3
Shannon,25,Student,5'6",Lakewood CO,Caucasian,10,3
Tammy,28,Sales,5'9",Pittsburgh PA,Caucasian,11,3
Trish,24,Model,5'8",Tampa FL,Caucasian,12,3
Wendy,25,Teacher,5'6",Chicago IL,Caucasian,13,3
Victoria,25,Real Estate Agent,5'7",Beverly Hills CA,Caucasian,14,3
Trista Rehn,30,Physical Therapist,5'3",Colo. Springs CO,Caucasian,0,4
Charity,24,Marketing Executive,5'6",Chicago IL,Caucasian,2,4
Kimberly,25,Public Relations,5'7",North Miami FL,Caucasian,3,4
Sarah,23,Sales,5'7",Phoenix AZ,Caucasian,4,4
Amanda,24,Teacher,5'6",Tampa FL,Caucasian,5,4
Julie,27,Executive Assistant,5'5",Chicago IL,Caucasian,6,4
Shannon,25,Teacher,5'4",Portland OR,Caucasian,7,4
Lindsey,25,Teacher,5'8",Indianapolis IN,Caucasian,8,4
Jill,23,Executive Assistant,5'6",Dallas TX,Caucasian,9,4
Kristen,25,Graduate Student,5'5",Chicago IL,Caucasian,10,4
Karen,24,Teacher,5'4",Las Vegas NV,Caucasian,11,4
Monica,26,Insurance Sales,5'6",Los Angeles CA,Caucasian,12,4
Rachel,25,Social Worker,5'8",Tampa FL,Caucasian,13,4
Jessica Bowlin,23,Student,5'6",Anchorage AK,Caucasian,0,5
Erica,25,Model,5'7",Chicago IL,Caucasian,4,5
Kimberly,25,Public Relations,5'7",Dallas TX,Caucasian,3,5
Tessa,25,Teacher,5'7",Pittsburgh PA,Caucasian,5,5
Sarah Brice,24,Sales,5'6",Austin TX,Caucasian,0,5
Lindsey,24,Event Coordinator,5'7",Phoenix AZ,Caucasian,6,5
Brittany,25,Public Relations,5'7",Dallas TX,Caucasian,7,5
Jessica,25,Model,5'8",Los Angeles CA,Caucasian,8,5
Trish,24,Marketing Executive,5'8",Miami FL,Caucasian,9,5
Renee,26,Social Worker,5'5",Chicago IL,Caucasian,10,5
Christina,25,Interior Designer,5'7",New York NY,Caucasian,11,5
Shannon,25,Real Estate,5'7",Denver CO,Caucasian,12,5
